title,dev,date
Way of the Samurai 3,Acquire,"
13 ноября 2008 г. "
Way of the Samurai 4,Acquire,"
3 марта 2011 г. "
Adventure Time Puzzle Quest,D3Publisher of America,
Guardians of Ancora,Scripture Union,"
1 июля 2015 г. "
CivCrafter,Naquatic LLC,"
1 апреля 2015 г. "
Risen 3: Titan Lords - Enhanced Edition,Piranha Bytes,"
21 августа 2015 г. "
Rocket League: Supersonic Fury,"Psyonix, Inc.","
13 августа 2015 г. "
Nono Islands,Illusion Labs,"
9 июля 2015 г. "
Sparkle 3 Genesis,Forever Entertainment,
Sorcerer King,Stardock Entertainment,"
16 июля 2015 г. "
Slugterra: Dark Waters,,
Halo Wars 2,The Creative Assembly,"
21 февраля 2017 г. "
Worms W.M.D,Team17 Software,"
23 августа 2016 г. "
Dragon Age: Inquisition - The Descent,BioWare Edmonton,"
11 августа 2015 г. "
The Crew: Wild Run,Ivory Tower,"
17 ноября 2015 г. "
The Technomancer,Spiders,"
28 июня 2016 г. "
Blues and Bullets,A Crowd of Monsters,"
23 июля 2015 г. "
Казаки 3,GSC Game World,"
20 сентября 2016 г. "
Digimon Story: Cyber Sleuth,Namco Bandai,"
12 марта 2015 г. "
Rayman Adventures,Ubisoft Entertainment,
London Heist,,
RONIN,,"
30 июня 2015 г. "
FlatOut 4: Total Insanity,,
Gnome Go Home,,
RESCUE 2: Everyday Heroes,Fragment Production,"
3 июня 2015 г. "
Madden NFL 16,EA Tiburon,"
25 августа 2015 г. "
Pro Evolution Soccer 2016,,"
15 сентября 2015 г. "
Transformers: Devastation,PlatinumGames,"
6 октября 2015 г. "
Five Nights at Freddy's 4: The Final Chapter,Scott Cawthon,
Tony Hawk's Pro Skater 5,Robomodo,"
29 сентября 2015 г. "
Dispatcher,,
Batman: Arkham Knight - Batgirl: A Matter of Family,Warner Bros. Interactive Entertainment,
CivMiner,Naquatic LLC,"
2 июля 2015 г. "
Light of Darkness,PC,
Cosmonautica,Chasing Carrots,"
31 июля 2015 г. "
Prototype Biohazard Bundle,Activision,
Death's Gambit,,"
13 августа 2018 г. "
South Park: The Fractured but Whole,Ubisoft San Francisco,"
17 октября 2017 г. "
Planet Coaster,Frontier Developments,
Shenmue III,Deep Silver,
Dreamfall Chapters Book Three: Realms,Red Thread Games,"
25 июня 2015 г. "
Rising Storm 2: Vietnam,Tripwire Interactive,"
30 мая 2017 г. "
Pillars of Eternity: The White March,Obsidian Entertainment,"
25 августа 2015 г. "
Angry Birds Fight!,Rovio Entertainment,"
7 мая 2015 г. "
Metroid Prime: Federation Force,Nintendo,
Star Wars: Heroes Path,Disney Interactive Studios,"
18 июня 2015 г. "
Mario & Luigi: Paper Jam,AlphaDream,"
3 декабря 2015 г. "
Let's Go Rocket,Cobra Mobile,
Sonic Runners,SEGA,"
25 июня 2015 г. "
Minecraft: Story Mode - A Telltale Games Series,Telltale Games,"
13 октября 2015 г. "
Sid Meier's Civilization: Beyond Earth - Rising Tide,Firaxis Games,"
9 октября 2015 г. "
The Witcher 3: Wild Hunt - Blood and Wine,cdp.pl,
ION,Dean 'Rocket' Hall,
Mass Effect: Andromeda,BioWare,"
21 марта 2017 г. "
ReCore: Definitive Edition,Comcept,"
13 сентября 2016 г. "
Dark Souls III,From Software,"
24 марта 2016 г. "
Plants vs. Zombies: Garden Warfare 2,PopCap,"
 23 февраля 2016 г. "
Gears of War 4,The Coalition,"
11 октября 2016 г. "
Hitman,IO Interactive,"
11 марта 2016 г. "
Sea of Thieves,Rare Ltd.,"
20 марта 2018 г. "
For Honor,Blue Byte,"
14 февраля 2017 г. "
Tom Clancy's Ghost Recon: Wildlands,Ubisoft Montpellier,"
7 марта 2017 г. "
Rare Replay,Rare Ltd.,"
4 августа 2015 г. "
Horizon: Zero Dawn,Guerrilla Games,"
28 февраля 2017 г. "
Destiny: The Taken King,Bungie,"
15 сентября 2015 г. "
Trackmania: Turbo,Nadéo,"
22 марта 2016 г. "
Just Dance 2016,Ubisoft Paris,"
20 октября 2015 г. "
Star Wars: The Old Republic - Knights of the Fallen Empire,BioWare Austin,"
27 октября 2015 г. "
Trials Fusion: Awesome Level Max,Ubisoft Entertainment,
Viking Remix Madness,Ferver Studios,
Kung Fury: Street Rage,Hello There,
Invasion: Online War Game,,"
4 июня 2015 г. "
Subject 13,Microïds,"
28 мая 2015 г. "
Monster Hunter X,Capcom Production Studio 1,"
28 ноября 2015 г. "
The Bard's Tale IV,inXile Entertainment,"
27 мая 2017 г. "
LEGO Worlds,Traveller's Tales,"
7 марта 2017 г. "
Star Wars: Uprising,Kabam,"
10 сентября 2015 г. "
Hitman: Sniper,Square Enix,
Crossout,Targem Games,"
30 мая 2017 г. "
Serpent in the Staglands,Whalenought Studios LLC,"
28 мая 2015 г. "
Master of Orion: Conquer the Stars,NGD Studios,"
28 августа 2016 г. "
Figureheads,Square Enix,"
2016 г. "
BIOS,,
Terminator Genisys: Revolution,Glu Mobile,"
4 июня 2015 г. "
LEGO Ninjago: Shadow of Ronin,Traveller's Tales,"
24 марта 2015 г. "
Dead Among Us,,
LEGO Ninjago: Nindroids,Traveller's Tales,"
29 июля 2014 г. "
LEGO Ninjago Tournament,,
Need for Speed,Ghost Games,"
3 ноября 2015 г. "
Oddwings Escape,Small Giant Games,
Albion Online,Sandbox Interactive,"
18 июля 2017 г. "
Divinity: Original Sin - Enhanced Edition,Larian Studios,"
27 октября 2015 г. "
The Legend of Zelda,Nintendo R&D 4,"
 21 февраля 1986 г. "
"Guns, Gore & Cannoli",Crazy Monkey Studios,"
30 апреля 2015 г. "
Galaxy Zero,,
Tropico 5: Gone Green,Kalypso Media,
Destiny: House of Wolves,Bungie,"
19 мая 2015 г. "
The Evil Within: The Executioner,Bethesda Softworks,
Kursk,,"
7 ноября 2018 г. "
The Incredible Adventures of Van Helsing III,NeocoreGames,"
22 мая 2015 г. "
Drive Ahead!,,
Tropico 5: Inquisition,Haemimont Games,"
16 апреля 2015 г. "
Environmental Station Alpha,,"
22 апреля 2015 г. "
Dark Echo,RAC7 Games,"
3 февраля 2015 г. "
Uncanny Valley,Cowardly Creations,"
23 апреля 2015 г. "
Perception,The Deep End Games,"
30 мая 2017 г. "
Dustbowl - A Wasteland Adventure,,"
18 мая 2015 г. "
Knights of Pen & Paper 2,Kyy Games,"
13 мая 2015 г. "
Ice Age Adventures,Gameloft,
Project CARS: Lykan Hypersport,Bandai Namco Games,
Nitro Nation Online,Creative Mobile Games,"
7 апреля 2014 г. "
Lost Within,Human Head Studios,"
16 апреля 2015 г. "
Brickies,Ink Vial Games,"
20 мая 2015 г. "
Giana Sisters: Dream Runners,PC,
MotoGP 15,racing,
Does not Commute,Mediocre,"
23 апреля 2015 г. "
Splatoon,,"
29 мая 2015 г. "
AuroraRL,rpg,
Sorcery! 3,inkle,"
23 апреля 2015 г. "
Trainz: A New Era,N3V Games,"
14 мая 2015 г. "
Car Mechanic Simulator 2015,Red Dot Games,"
23 апреля 2015 г. "
Crowfall,,"
6 июля 2021 г. "
Forgotten Memories: Alternate Realities,Psychoz Interactive,"
23 апреля 2015 г. "
Yooka-Laylee,Playtonic Games,
Xenoblade Chronicles 3D,3DS,
"Slow Down, Bull",Insomniac Games,
Xenoblade Chronicles,Monolith Soft,"
10 июня 2010 г. "
Dishonored 2,Arkane Studios,"
11 ноября 2016 г. "
Fallout 4,Bethesda Game Studios,"
10 ноября 2015 г. "
GoatZ,Coffee Stain Studios,"
7 мая 2015 г. "
Rage of the Seven Seas,Unalis,
Snake Rewind,arcade,
Bears vs. Art,Halfbrick Studios,"
10 марта 2014 г. "
Jurassic World,Ludia Inc.,"
29 апреля 2015 г. "
King's Quest: The Complete Collection,The Odd Gentlemen,"
 28 июля 2015 г. "
Battlefleet Gothic: Armada,Tindalos Interactive,"
21 апреля 2016 г. "
ARK: Survival Evolved,Studio Wildcard,"
29 августа 2017 г. "
LEGO Dimensions,TT Games,"
27 сентября 2015 г. "
Marvel Future Fight,Netmarble,
Albedo: Eyes from Outer Space,Z4g0 and Ivan Venturi Productions,"
10 апреля 2015 г. "
Implosion: Never Lose Hope,Rayark Inc.,"
8 апреля 2015 г. "
Mortal Kombat X (Mobile),Warner Bros. Interactive Entertainment,
World War Toons,Reload Studios,"
13 октября 2016 г. "
Samorost 3,Amanita Design,"
24 марта 2016 г. "
War for the Overworld,Subterranean Games,"
2 апреля 2015 г. "
Rogue Star,RedBreast Studio,"
8 апреля 2015 г. "
Star Ocean: Integrity and Faithlessness,tri-Ace,"
31 марта 2016 г. "
Little Devil Inside,,
Ghost in the Shell: Stand Alone Complex (2005),Bandai Games,
Armikrog,Doug TenNapel,"
30 сентября 2015 г. "
Pathologic Classic HD,Gambitious Digital Entertainment,
"Please, Don't Touch Anything",,"
26 марта 2015 г. "
Hero Generations,,"
10 апреля 2015 г. "
Titan Souls,ACID NERVE,"
14 апреля 2015 г. "
Solarix (2009),,
F1 2015,,"
10 июля 2015 г. "
Rebel Galaxy,"Double Damage Games, Inc.","
20 октября 2015 г. "
Overlord: Fellowship of Evil,Codemasters,"
20 октября 2015 г. "
Solarix,Pulsetense Games,"
30 апреля 2015 г. "
Hektor,Rubycone,"
13 марта 2015 г. "
Strike Vector EX,,"
30 августа 2016 г. "
Devil May Cry 4: Special Edition,Capcom Entertainment,
Halo Online,,
StarDrive 2,,"
9 апреля 2015 г. "
Overkill 3,Craneballs,"
25 февраля 2015 г. "
Sébastian Loeb Rally Evo,Milestone,"
декабрь 2015 г. "
Stormblades,Emerald City Game,"
18 марта 2015 г. "
Stunt Rush,Dustyroom,"
1 января 2015 г. "
Fast & Furious: Legacy,Kabam,
Trapped Dead: Lockdown,Headup Games,
Sunset Overdrive: Dawn of the Rise of the Fallen Machines,Microsoft Game Studios,
The Trace,Relentless Software,"
25 марта 2015 г. "
MonsterBag,IguanaBee,"
1 апреля 2015 г. "
Dead Synchronicity: Tomorrow comes Today,Fictiorama Studios,"
10 апреля 2015 г. "
FIRE,Daedalic Entertainment,"
9 апреля 2015 г. "
The Evil Within: The Consequence,Bethesda Softworks,
State of Decay: Year-One Survival Edition,Undead Labs,"
27 апреля 2015 г. "
theHunter: Primal,Expansive Worlds,
Driver Speedboat Paradise,Ubisoft Entertainment,
Rack N Ruin,LifeSpark Entertainment,
Borderlands: The Pre-Sequel — Claptastic Voyage,2K Games,
Dungeon Hunter 5,Gameloft Montreal,"
12 марта 2015 г. "
Dragon Age: Inquisition - Jaws of Hakkon,BioWare Edmonton,"
24 марта 2015 г. "
Forza Horizon 2: Fast & Furious,Microsoft Game Studios,
Europa Universalis IV: El Dorado,Paradox Development Studio,"
26 февраля 2015 г. "
Amplitude,Harmonix Music Systems,"
5 января 2016 г. "
Grapple,PC,
Trine 3: The Artifacts of Power,Frozenbyte,"
20 августа 2015 г. "
Stealth Inc. 2: A Game of Clones,Curve Studios,"
30 октября 2014 г. "
WRC 5,racing,
Dying Light: Cuisine & Cargo,Warner Bros. Interactive Entertainment,
Dying Light: The Bozak Horde,Warner Bros. Interactive Entertainment,
Rain of Reflections: Chapter 1,,"
4 октября 2019 г. "
Marvel Mighty Heroes,action,
Aces of The Luftwaffe,arcade,
Transformers: Battle Tactics,"DeNA Co., Ltd.","
30 января 2015 г. "
Sniper: Ghost Warrior 3,CI Games,"
25 апреля 2017 г. "
Wolfenstein: The Old Blood,MachineGames,"
4 мая 2015 г. "
Alto's Adventure,Snowman,"
19 февраля 2015 г. "
RollerCoaster Tycoon World,Area 52 Games,"
16 ноября 2016 г. "
Tempo,Splash Damage,"
12 февраля 2015 г. "
Besiege,Spiderling Studios,"
18 февраля 2020 г. "
Not A Hero,Roll7 Games,"
14 мая 2015 г. "
Tower of Guns,,"
4 марта 2014 г. "
Dictator: Revolt,,
Zombie Army Trilogy,Rebellion,"
3 марта 2015 г. "
Magnetic: Cage Closed,Gambitious Digital Entertainment,
Killer Instinct: Season 2,Microsoft Game Studios,
The Deer God,Cinopt Studios LLC,"
27 февраля 2015 г. "
Middle-earth: Shadow of Mordor - Bright Lord,,"
24 февраля 2015 г. "
Omega Quintet,Compile Heart,"
2 октября 2014 г. "
Paparazzi (2006),Gnosis Games,"
сентябрь 2006 г. "
Hero of the Kingdom II,Lonely Troops,"
20 февраля 2015 г. "
Lords of the Fallen: Ancient Labyrinth,Namco Bandai Games,
Disgaea 5: Alliance of Vengeance,Nippon Ichi Software,"
26 марта 2015 г. "
Pixel Puzzles 2: Birds,Decaying Logic,"
20 февраля 2015 г. "
Paparazzi,Pringo Dingo Games,
Dungeons 2,Realmforge Studios,"
24 апреля 2015 г. "
Payday 2: The Bomb Heists,505 Games,
King of Thieves,ZeptoLab,"
12 февраля 2015 г. "
Clash of Clans,Supercell,"
2 августа 2012 г. "
The Weaponographist,Mastertronic,
Kick & Fennick,Jaywalkers Interactive,"
3 февраля 2015 г. "
Warhammer: The End Times - Vermintide,Fatshark,"
23 октября 2015 г. "
Kholat,IMGN.PRO,"
10 июня 2015 г. "
The Sims 4: Get To Work,Electronic Arts,
Story of Seasons,Marvelous AQL,"
27 февраля 2015 г. "
LEGO Jurassic World,TT Games,"
12 июня 2015 г. "
The Legend of Zelda: Majora's Mask 3D,Nintendo EAD Tokyo,"
13 февраля 2015 г. "
Morningstar: Descent to Deadrock,Red Herring Labs,"
17 февраля 2015 г. "
SpongeBob HeroPants,Behaviour Interactive,"
3 февраля 2015 г. "
White Night,OSome Studio,"
3 марта 2015 г. "
Wheel & Deal,Robote Games,"
22 января 2015 г. "
Medieval Engineers,Keen Software House Ltd,"
2015 г. "
Gunbrick,Nitrome,"
7 января 2015 г. "
Survivalist,,"
6 сентября 2014 г. "
bit Dungeon,,
Infinity Wars - Animated Trading Card Game,Lightmare Studios,"
12 февраля 2014 г. "
Satellina,Android,
bit Dungeon II,KintoGames,
Splice,Cipher Prime,"
14 июня 2012 г. "
Pix the Cat,Pasta Games,"
7 октября 2014 г. "
MotorSport Revolution,Ghost Machine,"
15 января 2015 г. "
Operation Abyss: New Tokyo Legacy,Experience Inc.,"
24 июля 2014 г. "
Grow Home,Ubisoft Reflections,"
4 февраля 2015 г. "
Atelier Ayesha Plus: The Alchemist of Dusk,Gust Incorporated,"
27 марта 2014 г. "
Sniper Elite III: Ultimate Edition,Rebellion Developments,"
10 марта 2015 г. "
Supreme League of Patriots,,"
29 января 2015 г. "
Earthcore: Shattered Elements,Tequila Games,
Seasons after Fall,Swing Swing Submarine,"
2 сентября 2016 г. "
WRC: The Official Game,Firebrand Games,"
18 декабря 2014 г. "
Dynasty Warriors 8: Empires,,"
20 ноября 2014 г. "
Boid,Mokus,"
8 июля 2016 г. "
Homeworld Remastered Collection,Gearbox Software,"
25 февраля 2015 г. "
Forza Motorsport 6,Turn 10 Studios,"
15 сентября 2015 г. "
Hyperdimension Neptunia Re;Birth 2: Sisters Generation,Compile Heart,"
20 марта 2014 г. "
Funk of Titans,A Crowd of Monsters,"
9 января 2015 г. "
Under Night In-Birth Exe:Late,Ecole Software,"
24 июля 2014 г. "
Ronin (Mobile),Emmanuel MONNEREAU,"
20 декабря 2012 г. "
Soul Axiom,Wales Interactive,
Hyperdimension Neptunia U: Action Unleashed,Tamsoft,"
28 августа 2014 г. "
DmC: Devil May Cry - Definitive Edition,Capcom Entertainment,
Criminal Girls: Invite Only,Image Epoch,"
28 ноября 2013 г. "
IDARB,Other Ocean Interactive,"
30 января 2015 г. "
Grey Goo,Petroglyph,"
23 января 2015 г. "
Metrocide,Flat Earth Games,"
15 декабря 2014 г. "
Switch Galaxy,Atomicom,"
6 марта 2013 г. "
Switch Galaxy Ultra,Atomicom,"
17 декабря 2014 г. "
Resogun: Defenders,Sony Computer Entertainment,
Pillar,PC,
Sunset Overdrive: Mooil Rig,Microsoft Game Studios,
Ultimate General: Gettysburg,Game-Labs,"
16 октября 2014 г. "
Assassin's Creed: Unity - Dead Kings,Ubisoft Montréal,"
13 января 2015 г. "
Wings of Vi,Grynsoft,"
28 ноября 2014 г. "
SimplePlanes,,
Noct,Devolver Digital,
Need for Speed: No Limits,Firemonkeys,"
6 января 2015 г. "
Far Cry 4: Escape from Durgesh Prison,Ubisoft Entertainment,
Captain Toad: Treasure Tracker,Nintendo EAD,"
13 ноября 2014 г. "
Vampyr,Dontnod Entertainment,"
5 июня 2018 г. "
Brothers in Arms 3: Sons of War,Gearbox Software,"
17 декабря 2014 г. "
NEO Scavenger,Blue Bottle Games,
Racing Rivals,Cie Games,"
29 августа 2013 г. "
"About Love, Hate & the Other Ones",Black Pants,"
23 октября 2012 г. "
POP: Methodology Experiment One,,
Fork Parker's Holiday Profit Hike,Devolver Digital,
Elegy for a Dead World,Dejobaan Games,
Don't Starve Together,Klei Entertainment,"
15 декабря 2014 г. "
LISA,,
COG: Clash of Galaxy,,
Disorder,,"
12 января 2015 г. "
Karmaflow: The Rock Opera Videogame,Barrel Man Games,"
19 января 2015 г. "
BattleLore: Command,Fantasy Flight Games,"
25 ноября 2014 г. "
Hyperdevotion Noire: Goddess Black Heart,Compile Heart,"
29 мая 2014 г. "
Marvel Heroes 2015,,"
4 июня 2014 г. "
Shadow Side,,
Accidental Runner,,
Air Control 2,,
Total Domination: Reborn,Plarium,"
31 декабря 2012 г. "
Logistics Company,rondomedia,
Grand Theft Auto Online: Heists,Rockstar Games,
Age of Blood,PC,
Middle-earth: Shadow of Mordor - Lord of the Hunt,,"
16 декабря 2014 г. "
Please Knock on My Door,adventure,
Final Fantasy XV,Square Enix,"
29 ноября 2016 г. "
X Rebirth: The Teladi Outpost,Egosoft,
Krinkle Krusher,,
Grand Ages: Medieval,Gaming Minds Studios,"
25 сентября 2015 г. "
Tropico 5: Waterborne,Kalypso Media,
Last Inua,Wired Productions,
Metal Gear Online,Kojima Productions,"
12 июня 2008 г. "
Cities: Skylines,Colossal Order,"
10 марта 2015 г. "
Hollow Knight,,"
24 февраля 2017 г. "
Agent Awesome,strategy,
Capsule Force,,
Crossing Souls,,"
13 февраля 2018 г. "
Cities XXL,Focus Home Interactive,"
5 февраля 2015 г. "
Ancestory,,
Gladiators Online: Death Before Dishonor,PC,
Tearaway Unfolded,Media Molecule,"
8 сентября 2015 г. "
Europa Universalis IV: Art of War,PC,
Total War Battles: Kingdom,The Creative Assembly,"
21 марта 2016 г. "
Rocket League,"Psyonix, Inc.","
7 июля 2015 г.  "
RIDE,Milestone,"
27 марта 2015 г. "
The Book of Unwritten Tales 2,KING Art,"
19 февраля 2015 г. "
Dark Souls II: Scholar of the First Sin,From Software,"
1 апреля 2015 г. "
MotoGP 14 Compact,Milestone,
GRAV,,
The Banner Saga 2,Stoic,"
19 апреля 2016 г. "
Distance,Refract Studios,"
18 сентября 2018 г. "
ADR1FT,Three One Zero,"
28 марта 2016 г. "
Sons of Anarchy: The Prospect,Orpheus Interactive,"
29 января 2015 г. "
Pride of Taern,Whitemoon,"
4 мая 2012 г. "
Game of Thrones: Ascent,Disruptor Beam,"
июнь 2014 г. "
TxK,Llamasoft,"
11 февраля 2014 г. "
Heroes of Might & Magic III - HD Edition,DotEmu,"
29 января 2015 г. "
Танковый биатлон,Wargaming,
Braveland Wizard,Tortuga Team,
Warmachine: Tactics,WhiteMoon Dreams,"
21 ноября 2014 г. "
What Remains of Edith Finch,Giant Sparrow,"
25 апреля 2017 г. "
Block N Load,Jagex,"
30 апреля 2015 г. "
A Few Days Left,,
Titanfall: IMC Rising,Electronic Arts,
Framed (1994),,
Contract Killer: Sniper,,
Dreamfall Chapters Book Two: Rebels,Red Thread Games,"
10 марта 2015 г. "
Death Skid Marks,Studio Whisky Tango,"
21 ноября 2014 г. "
Bruce Lee: Enter the Game,,
The Witcher Adventure Game,Can Explode,"
27 ноября 2014 г. "
The Old City: Leviathan,PostMod Softworks,
Earn to Die 2,Toffee Games,"
19 ноября 2014 г. "
Run Sackboy! Run!,Sony Computer Entertainment,
Звездный Воитель,,"
4 декабря 2014 г. "
Assassin's Creed: Syndicate,Ubisoft Quebec,"
23 октября 2015 г. "
Orcs Must Die! Unchained,Robot Entertainment,"
19 апреля 2017 г. "
Call of Duty: Heroes,Activision Publishing,"
13 ноября 2014 г. "
How to Survive: Storm Warning Edition,505 Games,
Joe Dever's Lone Wolf HD Remastered,Forge Reply srl,"
27 ноября 2014 г. "
Joe Dever's Lone Wolf: Blood on the Snow,BulkyPix,
Severed,DrinkBox Studios,"
26 апреля 2016 г. "
The Blue Flamingo,Might and Delight,
Final Fantasy XIV: Heavensward,Square Enix,"
26 июня 2015 г. "
Emergency 5,Sixteen Tons Entertainment,"
30 октября 2014 г. "
Crowntakers,Kasedo Games,
Angry Birds Transformers,Rovio Entertainment,"
15 октября 2014 г. "
Zombie Highway 2,"Auxbrain, Inc.","
8 октября 2014 г. "
Zombie Highway,"Auxbrain, Inc.",
Monzo,Madfinger Games,"
5 ноября 2014 г. "
SAS: Zombie Assault 4,Ninja Kiwi,"
22 октября 2014 г. "
The Silent Age,House on Fire,"
21 февраля 2013 г. "
Fantasy Hero: Unsigned Legacy,Arc System Works,"
3 июля 2014 г. "
Red Riding Hood and the Restless Wolves,Whaleo,
Space Hulk: Ascension,Full Control,"
12 ноября 2014 г. "
Metal Skies,,
Sonic Boom: Rise of Lyric,Big Red Button Entertainment,"
11 ноября 2014 г. "
Digimon All-Star Rumble,Bandai Namco Games,
Goat MMO Simulator,Coffee Stain Studios,"
20 ноября 2014 г. "
Maria the Witch,,
Sonic Boom: Shattered Crystal,Sanzaru Games,"
11 ноября 2014 г. "
Massive Chalice,Double Fine,"
1 июня 2015 г. "
Haunted House: Cryptic Graves,Dreampainters Software,"
25 ноября 2014 г. "
Resident Evil,Capcom,"
22 марта 2002 г. "
Storm Casters,iOS,
I Am Bread,Bossa Studios,"
9 апреля 2015 г. "
Football Manager 2015,Sports Interactive,"
7 ноября 2014 г. "
Deathtrap,NeocoreGames,"
4 февраля 2015 г. "
Randal's Monday,Nexus Game Studios,"
12 ноября 2014 г. "
Rabbids Invasion,Ubisoft,"
18 ноября 2014 г. "
Geometry Wars 3: Dimensions,Sierra Games,
Shape Up,Ubisoft Montréal,"
11 ноября 2014 г. "
Dead Rising 3: Apocalypse Edition,Capcom,
Contra Force,Konami,
Ultimate Mortal Kombat 3,Midway Games,"
20 октября 2006 г. "
Star Wars Battlefront,EA DICE,"
17 ноября 2015 г. "
Star Wars: Galactic Defense,DeNA,"
30 октября 2014 г. "
Dragon Warlords,,
Bio Inc. - Biomedical Plague,,
Blast Em!,Xiotex Studios,"
23 января 2014 г. "
Mordheim: City of the Damned,Rogue Factor,"
19 ноября 2015 г. "
Shadow Realms,BioWare Austin,"
2015 г. "
Project Nimbus,,"
26 сентября 2017 г. "
Yellow House,,
Retro City Rampage: DX,,"
11 ноября 2014 г. "
The Hungry Horde,XDev,"
4 ноября 2014 г. "
Shoot the Moon,PipsqueakGames,
Fantasia: Music Evolved,Harmonix,"
20 октября 2014 г. "
The Legend of Korra,Activision,
Triad Wars,United Front Games,"
2016 г. "
ScreamRide,Frontier Developments,"
3 марта 2015 г. "
Escape Plan,Fun Bits,"
22 февраля 2012 г. "
Gravity Rush,SCE Japan Studio (Project Siren),"
9 февраля 2012 г. "
Gravity Rush: Military,Sony Computer Entertainment,
The Mirror Lied,Freebird Games,
Falling Skies: The Game,Little Orbit,
Space Rogue (2015),,
Steam Marines,,
Costume Quest 2,Double Fine Productions,"
 7 октября 2014 г. "
Iron Desert,Android,
Chernobyl Underground,Silden,
Assassin's Creed Identity,Blue Byte,"
25 февраля 2016 г. "
Counter-Strike Nexon: Zombies,Nexon Europe S.a.r.l,
Sword Art Online: Infinity Moment,Banpresto,"
14 марта 2014 г. "
The Battles of King Arthur,Excalibur Publishing Limited,"
2015 г. "
Dance Central: Spotlight,Harmonix,"
2 сентября 2014 г. "
Roundabout,No Goblin,"
18 сентября 2014 г. "
Alone in the Dark: Illumination,,"
11 июня 2015 г. "
Teenage Mutant Ninja Turtles,,
Saints Row IV: Re-Elected & Gat Out of Hell,High Voltage Software,"
20 января 2015 г. "
NBA Live 15,EA Tiburon,"
28 октября 2014 г. "
Resident Evil: Revelations 2,Capcom,"
25 февраля 2015 г. "
Trials Fusion: Riders of the Rustlands,RedLynx,
Hollowpoint,Paradox Interactive,
In Space We Brawl,arcade,
Lucius II,Shiver Games,"
13 февраля 2015 г. "
Company of Heroes 2: Ardennes Assault,SEGA,
Toxikk,Reakktor Media,
Firewatch,Campo Santo,"
9 февраля 2016 г. "
Watch Dogs: Bad Blood,Ubisoft Montréal,"
30 сентября 2014 г. "
Go Home Dinosaurs!,Fire Hose Games,
Super Meat Boy Forever,Team Meat,"
23 декабря 2020 г. "
Z: Steel Soldiers,"Bitmap Brothers, The","
июнь 2001 г. "
Robocraft,Freejam,"
8 июля 2014 г. "
The Stomping Land,SuperCrit,"
2014 г. "
Pillars of Eternity,Obsidian Entertainment,"
26 марта 2015 г. "
S.T.A.L.K.E.R.: Lost Alpha,dez0wave,
Ancient Space,Paradox Interactive,
ZAMB! Biomutant Extermination,Nano Games,"
20 июня 2014 г. "
Supreme Ruler 1936,BattleGoat Studios,"
9 мая 2014 г. "
Strike Suit Infinity,Born Ready Games,"
30 апреля 2013 г. "
Sanctum 2: Road to Elysion,Coffee Stain Studios,
Mitsurugi Kamui Hikae,Zenith Blue,"
12 августа 2013 г. "
Nekro,,
Heroes of a Broken Land,Winged Pixel,"
12 августа 2013 г. "
Subject 9,,
Frozen State,,
Victory At Sea,,
Supernauts,,
Might & Magic: Heroes VII,Black Hole Entertainment,"
29 сентября 2015 г. "
Wrack,,"
30 сентября 2014 г. "
Dungeons: The Eye of Draconus,,
NBA 2K15,Visual Concepts,"
7 октября 2014 г. "
Farm Frenzy 4,Buka Entertainment,
Fight The Dragon,3 Sprockets,
Farming Simulator 15,Koch Media,
War Agent,Android,
Lords of Xulima,Numantian Games,"
14 ноября 2014 г. "
Age of Empires: Castle Siege,Smoking Gun Interactive,"
18 сентября 2014 г. "
A Bird Story,Freebird Games,"
7 ноября 2014 г. "
inFamous: First Light,Sucker Punch,"
26 августа 2014 г. "
"Expendabros, The - Broforce: The Expendables Missions",Devolver Digital,
Sword Art Online: Hollow Fragment,Namco Bandai,"
24 апреля 2014 г. "
Frozen Synapse: Prime,Mode 7 Games,"
23 сентября 2014 г. "
Fantasy Life,Brownie Brown,"
27 декабря 2012 г. "
The Legend of Heroes: Trails in the Sky,Nihon Falcom,"
24 июня 2004 г. "
Deadman's Cross,Square Enix,"
13 февраля 2014 г. "
The Legend of Heroes: Sen no Kiseki II,Nihon Falcom,"
25 сентября 2014 г. "
JUJU,Flying Wild Hog,"
2 декабря 2014 г. "
Sleeping Dogs: Definitive Edition,Square Enix,"
8 октября 2014 г. "
Cube World,Wolfram von Funck (aka Wollay),"
30 сентября 2019 г. "
BeatBlasters III,Chainsawesome Games,"
21 февраля 2014 г. "
Chaos Domain,Holy Warp,"
2 мая 2014 г. "
Nero,Storm in a Teacup,"
15 мая 2015 г. "
Dementium: The Ward,Renegade Kid,"
31 октября 2007 г. "
Construction Simulator 2014,astragon Software GmbH,"
30 октября 2013 г. "
Dementium II,Renegade Kid,"
4 мая 2010 г. "
Alienation,Housemarque,"
26 апреля 2016 г. "
Dead Effect,BulkyPix,
The Tomorrow Children,SCE Japan Studio,"
6 сентября 2016 г. "
Pneuma: Breath of Life,Bevel Studios,"
27 февраля 2015 г. "
Monsters Ate My Birthday Cake,Cartoon Network Games,
Toy Soldiers: War Chest,Signal Studios,"
11 августа 2015 г. "
Blackguards 2,Daedalic Entertainment,"
20 января 2015 г. "
WiLD,Sony Computer Entertainment,
Hellblade: Senua's Sacrifice,Ninja Theory,"
7 августа 2017 г. "
Northmark: Hour of the Wolf,Rake in Grass,"
17 октября 2012 г. "
