title,dev,date
Ghostbusters: Rise of the Ghost Lord,nDreams,"
2023 г. "
Horizon Forbidden West: The Burning Shores,Sony Computer Entertainment,
Bayonetta Origins: Cereza and the Lost Demon,PlatinumGames,"
17 марта 2023 г. "
Earthblade,Extremely OK Games,"
2024 г. "
Armored Core VI: Fires of Rubicon,FromSoftware,"
2023 г. "
Remnant II,,
Banishers: Ghosts of New Eden,Dontnod Entertainment,"
2023 г. "
Crime Boss: Rockay City,505 Games,
Cyberpunk 2077: Phantom Liberty,CD Projekt,
Prognostic,,
Ascend: Reborn,,
Crash Team Rumble,Toys for Bob,"
2023 г. "
Ultima II: The Revenge of the Enchantress,Sierra On-Line,
Ultima I: The First Age of Darkness,Sierra On-Line,
Barkhan,,
Ultima VI: The False Prophet,,
Ultima III: Exodus,,
Labyrinth of Galleria: The Moon Society,"Nippon Ichi Software, Inc.","
14 февраля 2023 г. "
Ultima VII: Forge of Virtue,,
STALCRAFT,EXBO,"
9 декабря 2022 г. "
Ultima VII Part Two: Serpent Isle,,"
25 марта 1993 г. "
Animaniacs: The Great Edgar Hunt,Warthog,"
27 мая 2005 г. "
Animaniacs: A Gigantic Adventure,SouthPeak Interactive,
"Animaniacs: Lights, Camera, Action!",Warthog,"
4 августа 2005 г. "
Toram Online,"Asobimo, Inc.","
20 декабря 2021 г. "
B.O.B.,Electronic Arts,
Astyanax,Jaleco Entertainment,"
21 декабря 1989 г. "
Arabian Nights: Sabaku no Seirei-ō,,
Bahamut Lagoon,Square,
Battle City,Namco,
Tank Battalion,Namco,
Tank Force,Namco,
Blaster Master: Enemy Below,,
Blaster Master Zero,Inti Creates,"
3 марта 2017 г. "
Blaster Master: Overdrive,Gaijinworks,
Blaster Master Boy,,
Blaster Master: Blasting Again,Crave Entertainment,
Blaster Master Zero 2,Inti Creates,"
20 марта 2019 г. "
Disney's Bonkers (Capcom),,
Disney's Bonkers,Sega of America,
Blaster Master 2,action,
The Incredible Machine,Sierra On-Line,
Robotrek,Enix,
Planet Laika,Enix,
The Granstream Saga,THQ,
The 7th Saga,Enix,
Adventure Island,Hudson Soft,
Super Adventure Island,,"
11 января 1992 г. "
Adventure Island 3,Hudson Soft,
New Adventure Island,Now Production,"
26 июня 1992 г. "
Adventure Island IV,Hudson Soft,
Adventure Island II,Hudson Soft,
Adventure Island: The Beginning,Hudson Soft,"
7 апреля 2009 г. "
Adventures of Lolo,HAL Laboratory,
Super Adventure Island II,Hudson Soft,
Adventures of Lolo 2,HAL Laboratory,"
6 января 1990 г. "
Adventures of Lolo 3,HAL Laboratory,
Aero the Acro-Bat,ZOO Digital Publishing,
Aero the Acro-Bat 2,,
Alex Kidd in the Enchanted Castle,SEGA,
Alex Kidd BMX Trial,SEGA,
Star Wars Battlefront: Mobile Squadrons,Mikoishi,"
2 апреля 2009 г. "
Alex Kidd in Miracle World,SEGA,"
1 ноября 1986 г. "
Zero the Kamikaze Squirrel,,
Alex Kidd: The Lost Stars,SEGA,
Star Wars: The Clone Wars – Lightsaber Duels,Krome Studios,"
11 ноября 2008 г. "
Star Wars Battlefront: Elite Squadron,Rebellion Developments,"
3 ноября 2009 г. "
Star Wars: The Clone Wars – Jedi Alliance,LucasArts,"
11 ноября 2008 г. "
Star Wars: Jedi Arena,Parker Brothers,
Star Wars: Droids,Mastertronic,
Star Wars: Masters of Teräs Käsi,LucasArts,"
31 октября 1997 г. "
Star Wars Trilogy Arcade,SEGA,
Star Wars: Demolition,Luxoflux,"
12 ноября 2000 г. "
Star Wars: Flight of the Falcon,THQ,
Star Wars: Lethal Alliance,Ubisoft,
Star Wars Battle Pod,Bandai Namco Games,"
8 октября 2014 г. "
Vader Immortal: A Star Wars VR Series,Disney Interactive Studios,
Space Trucker (2023),,
Don't Fraud My Heart!,,"
5 января 2023 г. "
Millennium Conflict,PC,
Cyra and the Beacon Path,,
Relentless: Ranger,,"
16 января 2023 г. "
Star Wars Battlefront: Renegade Squadron,Rebellion Developments,"
9 октября 2007 г. "
浮生箓2：九九行歌 Floating Life 2,,
Star Wars (1983),SEGA,
Hohenheim: Skywards,,
Lasting Solstice,,
Star Wars (1987),Namco,
Death Star Interceptor,,
Star Wars: Attack on the Death Star,Victor Entertainment,
Star Wars: The Empire Strikes Back (1982),Parker Brothers,
Star Wars (1991),Ubi Soft,
Star Wars Arcade,SEGA,
Super Star Wars: The Empire Strikes Back,,
Star Wars: The Empire Strikes Back (1992),Ubisoft,
Star Wars: The Empire Strikes Back (1985),,
Super Star Wars: Return of the Jedi,THQ,
Star Wars: The Empire Strikes Back (2007),THQ Wireless Inc.,
Star Wars: Episode I - Jedi Power Battles,LucasArts,"
4 апреля 2000 г. "
Star Wars: Return of the Jedi,,
Star Wars: Episode I - Obi-Wan's Adventures,THQ,
Star Wars: Jedi Starfighter,LucasArts,"
10 марта 2002 г. "
Star Wars: TIE Fighter,LucasArts,
Star Wars: The New Droid Army,THQ,
Star Wars: Episode II – Attack of the Clones,THQ,
In Nightmare,,"
29 марта 2022 г. "
Occupy Mars: The Game,,"
январь 2023 г. "
Swordship,,
Zombie Cure Lab,,"
7 декабря 2022 г. "
Divine Knockout,,"
6 декабря 2022 г. "
Paragon: The Overprime,,"
8 декабря 2022 г. "
The Rumble Fish 2,,"
8 декабря 2022 г. "
Starcom: Unknown Space,"Wx3 Labs, LLC","
14 декабря 2022 г. "
Age of Empires: Mythologies,THQ,
Melatonin,Half Asleep,"
15 декабря 2022 г. "
RoboCop (1988),,
Age of Mythology: Tale of the Dragon,Microsoft Game Studios,
RoboCop Versus The Terminator,Virgin Interactive Entertainment,
RoboCop 2,,
RoboCop (2001),Mirage Interactive,
Robocop 2D 2: Robocop vs Terminator,Park Productions,
OneShot,arcade,
Amnesia: The Bunker,Frictional Games,"
март 2023 г. "
Let’s School,Pathea Games,
Pathogenesis: Overcome,,
Cafe Owner Simulator,RockGame S.A.,
Predecessor,,"
1 декабря 2022 г. "
Space Wreck,,
Nadir: A Grimdark Deckbuilder,Black Eye Games,
Spellbook Demonslayers,,
Teenage Mutant Ninja Turtles (1989),Konami,
Teenage Mutant Ninja Turtles II: The Arcade Game,Konami,
Teenage Mutant Ninja Turtles: Manhattan Missions,Konami,
Teenage Mutant Ninja Turtles: Fall of the Foot Clan,Konami,
Teenage Mutant Ninja Turtles II: Back from the Sewers,Konami,
Teenage Mutant Ninja Turtles III: The Manhattan Project,Konami,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami Digital Entertainment,
Teenage Mutant Ninja Turtles III: Radical Rescue,Konami,
Teenage Mutant Ninja Turtles: Tournament Fighters,Konami,
Teenage Mutant Ninja Turtles: Smash-Up,Game Arts,"
22 сентября 2009 г. "
Teenage Mutant Ninja Turtles: Arcade Attack,Ubisoft Entertainment,
Nickelodeon Kart Racers 3: Slime Speedway,Bamtang Games,"
14 октября 2022 г. "
Age of Empires II HD: The African Kingdoms,Microsoft,
Teenage Mutant Ninja Turtles (2013),,"
22 октября 2013 г. "
Age of Empires: The Age of Kings,Backbone Entertainment,"
14 февраля 2006 г. "
Age of Empires II HD: Rise of the Rajas,Microsoft,
Impaler,Retrovibe,
Age of Empires II DE: Lords of the West,,"
26 января 2021 г. "
Teenage Mutant Ninja Turtles: Turtles In Time,Konami,
Golden Axe III,SEGA,
Teenage Mutant Ninja Turtles: The Hyperstone Heist,Konami,
We Were Here Too,,"
2 февраля 2018 г. "
Morkredd,Aspyr Media,
Cocoon,,"
2023 г. "
The Simpsons Game,Rebellion,"
30 октября 2007 г. "
Front Mission: Gun Hazard,,"
23 февраля 1996 г. "
Iris.Fall,NExT Studios,"
7 декабря 2018 г. "
Streets of Rage,SEGA,
Front Mission Alternative,Square,"
18 декабря 1997 г. "
Front Mission,Square Enix,"
24 февраля 1995 г. "
Front Mission 2,,"
25 сентября 1997 г. "
Front Mission 5: Scars of the War,Square Enix,"
29 декабря 2005 г. "
Colortone: Remixed,,
Incredibox,So Far So Good,"
16 августа 2009 г. "
Undead Horde 2: Necropolis,10tons Ltd,
Astronite,,"
30 ноября 2022 г. "
Starship Troopers: Extermination,,"
2023 г. "
The Settlers: New Allies,Ubisoft,
Clown Of Duty,,
Adam's Venture: Origins,Vertigo Games,"
1 апреля 2016 г. "
171,,
Perfect Dark (2000),Rare,"
28 августа 2000 г. "
MediEvil 2,Sony Computer Entertainment,
Machine Gun Fury,Reset Games Ltd,"
28 октября 2022 г. "
Lode Runner,,
Dead Cells: Rise of the Giant,,"
28 марта 2019 г. "
Perfect Dark Zero,Microsoft Game Studios,
Dead Cells: Fatal Falls,,"
26 января 2021 г. "
BioShock 2: Minerva's Den,2K Marin,"
31 августа 2010 г. "
Pitfall!,Activision,
Super Pitfall,Activision,
Pitfall II: Lost Caverns,Activision,
Echo Night,From Software,
Pitfall: The Mayan Adventure,Activision,"
2 ноября 1994 г. "
Echo Night 2: The Lord of Nightmares,FromSoftware,
Echo Night: Beyond,FromSoftware,"
22 января 2004 г. "
Fighting Force,Eidos Interactive,
Super Contra,Konami,
Operation C,Konami,
Contra,Konami,
Contra III: The Alien Wars,Konami,
Contra: Legacy of War,,
Voyage,,"
19 февраля 2021 г. "
The City of Lost Children,Psygnosis,
Adam's Venture: Episode 3 - Revelations,Iceberg Interactive,
Driver 76,Sumo Digital,"
8 мая 2007 г. "
House of Caravan,Rosebud Games,"
16 апреля 2015 г. "
Barrow Hill: The Dark Path,Shadow Tor Studios,"
22 сентября 2016 г. "
Melissa K. and the Heart of Gold,SDP Games,"
19 сентября 2014 г. "
The Uncertain: Last Quiet Day,,"
22 сентября 2016 г. "
The Uncertain: Light At The End,,"
8 октября 2020 г. "
Acaratus,,
"About Love, Hate & The Other Ones 2",,
A Wolf in Autumn,,
A Long Way Down,Maple Whispering Limited,
A Pixel Story,Rising Star Games,
Wispering Willows,Night Light Interactive,"
27 мая 2014 г. "
404Sight,,
A SECOND BEFORE US,,
A Game of Thrones: The Board Game - Digital Edition,Dire Wolf Digital,"
6 октября 2020 г. "
1979 Revolution: Black Friday,,
0 Day Attack on Earth,,
10 Miles To Safety,,"
21 октября 2020 г. "
Lost Soul Aside,Sony Interactive Entertainment,
Grandia: Parallel Trippers,Hudson Soft,
Tom Clancy’s Ghost Recon: Jungle Storm,Ubisoft,
Rayman,Ubi Soft,
Tom Clancy’s Ghost Recon Wii,Ubisoft,
Tom Clancy's Ghost Recon: Predator,Ubisoft,
Tom Clancy’s Ghost Recon: Shadow Wars,Ubisoft,
Dangerous Dave in the Haunted Mansion,,
Dangerous Dave: Dave Goes Nutz!,,
Nancy Drew Dossier: Resorting to Danger!,Her Interactive,"
25 августа 2009 г. "
Nancy Drew: Labyrinth of Lies,Her Interactive,"
14 октября 2014 г. "
Nancy Drew: Sea of Darkness,Her Interactive,"
19 мая 2015 г. "
Nancy Drew: The Shattered Medallion,Her Interactive,"
20 мая 2014 г. "
Nancy Drew: The Mystery of the Clue Bender Society,Majesco Entertainment,
Nancy Drew: The Deadly Secret of Olde World Park,Majesco Entertainment,
Nancy Drew: The Hidden Staircase,THQ,
Quest Room: Hanon,,
Nancy Drew: The Model Mysteries,THQ,
The Room: Old Sins,Fireproof Games,"
18 января 2018 г. "
Brain Challenge,Ubisoft,
The Room VR: A Dark Matter,Fireproof Games,"
26 сентября 2019 г. "
Легенды 4: Время пришло,Big Fish Games,
Hidden Mysteries: Salem Secrets,GameMill Entertainment,
Mystery Case Files: 13th Skull,Big Fish Games,
Alien: Isolation - Crew Expendable,Creative Assembly,"
22 октября 2014 г. "
Call of Duty: Black Ops — Zombies,Activision,
Call of Duty: Black Ops: Declassified,Nihilistic Software,"
13 ноября 2012 г. "
Call of Duty: World at War - Zombies,Treyarch,"
16 ноября 2009 г. "
Alien: Isolation - Last Survivor,Creative Assembly,"
14 октября 2014 г. "
Alien (1982),,
Alien (1984),,
Aliens: The Computer Game (1986),,
Predator 2,,
Aliens: Alien 2,Square,
Aliens: The Computer Game (1987),,
Alien 3,Amiga,
Alien vs Predator,Activision,
Alien 3: The Gun,SEGA,
Predator: Concrete Jungle,Vivendi Universal Games,
Alien vs Predator (1994),Rebellion Developments,"
21 октября 1994 г. "
Aliens: Infestation,SEGA,
Aliens: Thanatos Encounter,THQ,
Aliens vs. Predator: Requiem,Vivendi Games,
Half-Life 2: Lost Coast,Valve Corporation,"
27 октября 2005 г. "
Portal: Prelude,,
Call of Duty: World at War – Final Fronts,Activision,
Silent Hill: Orphan,Gamefederation AB,"
ноябрь 2007 г. "
Silent Hill: Play Novel,Konami,
Silent Hill: The Escape,Konami,
Grand Theft Auto: London 1961,DMA Design,"
1 июля 1999 г. "
Silent Hill: Alchemilla,,"
3 апреля 2015 г. "
Grand Theft Auto: Vice City Stories,Rockstar North,"
31 октября 2006 г. "
Grand Theft Auto Advance,Digital Eclipse,"
26 октября 2004 г. "
Grand Theft Auto: Liberty City Stories,Rockstar North,"
24 октября 2005 г. "
Grand Theft Auto Online: After Hours,Rockstar Games,
Grand Theft Auto Online: The Doomsday Heist,Rockstar Games,
Grand Theft Auto Online: The Diamond Casino Heist,Rockstar Games,
Grand Theft Auto Online: The Cayo Perico Heist,Rockstar Games,
Grand Theft Auto Online: Los Santos Tuners,Rockstar Games,
Grand Theft Auto Online: The Contract,Rockstar Games,
Grand Theft Auto Online: Los Santos Summer Special,Rockstar Games,
Grand Theft Auto Online: The Criminal Enterprises,Rockstar Games,
Prince of Persia: Escape,Ketchapp,"
27 сентября 2018 г. "
Prince of Persia: The Fallen King,Ubisoft,
Battles of Prince of Persia,Ubisoft,
Prince of Persia: Epilogue,Ubisoft,
StarCraft: Insurrection,Aztech New Media,
Cave Digger 2: Dig Harder,,"
8 сентября 2022 г. "
Metal Gear Solid Mobile,Ideaworks Game Studio,"
19 марта 2008 г. "
The Punisher (1990),,
